"Position","Mood:Tense","Subject","Infinitive","Front","Back"
"7","Indicativo:Passato:prossimo","loro","ANNOIARSI","(perfetto) loro ANNOIARSI","(loro) si sono annoiate"
"7","Indicativo:Trapassato:prossimo","lui","ANNOIARSI","(perchè ieri) lui ANNOIARSI","(lui) si era annoiato"
"7","Congiuntivo:Presente","che io","ANNOIARSI","che io ANNOIARSI","(che io) mi annoi"
"7","Congiuntivo:Presente","che loro","ANNOIARSI","che loro ANNOIARSI","(che loro) si annoino"
"7","Congiuntivo:Passato","che io","ANNOIARSI","(perfetto) che io ANNOIARSI","(che io) mi sia annoiato"
"7","Congiuntivo:Passato","che loro","ANNOIARSI","(perfetto) che loro ANNOIARSI","(che loro) si siano annoiate"
"7","Condizionale:Presente","io","ANNOIARSI","se (presente) io ANNOIARSI","se (io) mi annoierei"
"7","Condizionale:Presente","voi","ANNOIARSI","se (presente) voi ANNOIARSI","se (voi) vi annoiereste"
"7","Condizionale:Passato","loro","ANNOIARSI","se (passato) loro ANNOIARSI","se (loro) si sarebbero annoiati"
"7","Gerundio:Presente","... ","ANNOIARSI","(...ndo) ...  ANNOIARSI","(... ) annoiandosi"
"7","Gerundio:Passato","essendosi","ANNOIARSI","(passato ...ndo) ANNOIARSI","(essendosi) annoiato"
"7","Participio:Presente","... ","ANNOIARSI","(aggetivo) ...  ANNOIARSI","(... ) annoiantesi"
"7","Imperativo:Presente","... ","ANNOIARSI","(per favore) ...  ANNOIARSI","(... ) annoiati"
"8","Indicativo:Presente","io","APPARIRE","(adesso) io APPARIRE","(io) appaio"
"8","Indicativo:Presente","tu","APPARIRE","(adesso) tu APPARIRE","(tu) appari"
"8","Indicativo:Presente","lei","APPARIRE","(adesso) lei APPARIRE","(lei) appare"
"8","Indicativo:Presente","noi","APPARIRE","(adesso) noi APPARIRE","(noi) appariamo"
"8","Indicativo:Presente","voi","APPARIRE","(adesso) voi APPARIRE","(voi) apparite"
"8","Indicativo:Presente","loro","APPARIRE","(adesso) loro APPARIRE","(loro) appaiono"
"8","Indicativo:Imperfetto","lei","APPARIRE","(ieri) lei APPARIRE","(lei) appariva"
"8","Indicativo:Passato:remoto","io","APPARIRE","(molto tempo fa) io APPARIRE","(io) apparvi/rii"
"8","Indicativo:Passato:remoto","tu","APPARIRE","(molto tempo fa) tu APPARIRE","(tu) apparisti"
"8","Indicativo:Futuro:semplice","lei","APPARIRE","(domani) lei APPARIRE","(lei) apparirà"
"8","Indicativo:Passato:prossimo","loro","APPARIRE","(perfetto) loro APPARIRE","(loro) sono apparsi"
"8","Indicativo:Trapassato:prossimo","tu","APPARIRE","(perchè ieri) tu APPARIRE","(tu) eri apparso"
"8","Congiuntivo:Presente","che io","APPARIRE","che io APPARIRE","(che io) appaia"
"8","Congiuntivo:Presente","che tu","APPARIRE","che tu APPARIRE","(che tu) appaia"
"8","Congiuntivo:Passato","che io","APPARIRE","(perfetto) che io APPARIRE","(che io) sia apparso"
"8","Congiuntivo:Passato","che lei","APPARIRE","(perfetto) che lei APPARIRE","(che lei) sia apparsa"
"8","Condizionale:Presente","io","APPARIRE","se (presente) io APPARIRE","se (io) apparirei"
"8","Condizionale:Presente","tu","APPARIRE","se (presente) tu APPARIRE","se (tu) appariresti"
"8","Condizionale:Passato","loro","APPARIRE","se (passato) loro APPARIRE","se (loro) sarebbero apparsi"
"8","Gerundio:Presente","... ","APPARIRE","(...ndo) ...  APPARIRE","(... ) apparendo"
"8","Gerundio:Passato","essendo","APPARIRE","(passato ...ndo) APPARIRE","(essendo) apparsa"
"8","Participio:Presente","... ","APPARIRE","(aggetivo) ...  APPARIRE","(... ) apparente"
"8","Imperativo:Presente","... ","APPARIRE","(per favore) ...  APPARIRE","(... ) appari"
"9","Indicativo:Presente","io","APRIRE","(adesso) io APRIRE","(io) apro"
"9","Indicativo:Presente","tu","APRIRE","(adesso) tu APRIRE","(tu) apri"
"9","Indicativo:Presente","lei","APRIRE","(adesso) lei APRIRE","(lei) apre"
"9","Indicativo:Presente","noi","APRIRE","(adesso) noi APRIRE","(noi) apriamo"
"9","Indicativo:Presente","voi","APRIRE","(adesso) voi APRIRE","(voi) aprite"
"9","Indicativo:Presente","loro","APRIRE","(adesso) loro APRIRE","(loro) aprono"
"9","Indicativo:Imperfetto","noi","APRIRE","(ieri) noi APRIRE","(noi) aprivamo"
"9","Indicativo:Passato:remoto","io","APRIRE","(molto tempo fa) io APRIRE","(io) aprii/ersi"
"9","Indicativo:Passato:remoto","lui","APRIRE","(molto tempo fa) lui APRIRE","(lui) aprì/erse"
"9","Indicativo:Futuro:semplice","voi","APRIRE","(domani) voi APRIRE","(voi) aprirete"
"9","Indicativo:Passato:prossimo","noi","APRIRE","(perfetto) noi APRIRE","(noi) abbiamo aperto"
"9","Indicativo:Trapassato:prossimo","loro","APRIRE","(perchè ieri) loro APRIRE","(loro) avevano aperto"
"9","Congiuntivo:Presente","che io","APRIRE","che io APRIRE","(che io) apra"
"9","Congiuntivo:Presente","che tu","APRIRE","che tu APRIRE","(che tu) apra"
"9","Congiuntivo:Passato","che io","APRIRE","(perfetto) che io APRIRE","(che io) abbia aperto"
"9","Congiuntivo:Passato","che noi","APRIRE","(perfetto) che noi APRIRE","(che noi) abbiamo aperto"
"9","Condizionale:Presente","io","APRIRE","se (presente) io APRIRE","se (io) aprirei"
"9","Condizionale:Presente","loro","APRIRE","se (presente) loro APRIRE","se (loro) aprirebbero"
