"Position","POS","Verb","Form","Front","Back"
"123","4","mettere","Congiuntivo Perfetto","noi mettiamo -> Congiuntivo Perfetto","che noi abbiamo messo"
"123","5","mettere","Congiuntivo Perfetto","voi mettete -> Congiuntivo Perfetto","che voi abbiate messo"
"123","6","mettere","Congiuntivo Perfetto","loro(m) mettono -> Congiuntivo Perfetto","che loro(m) abbiano messo"
"123","7","mettere","Congiuntivo Perfetto","loro(f) mettono -> Congiuntivo Perfetto","che loro(f) abbiano messo"
"123","0","mettere","Congiuntivo Trapassato","io metto -> Congiuntivo Trapassato","che io avessi messo"
"123","1","mettere","Congiuntivo Trapassato","tu metti -> Congiuntivo Trapassato","che tu avessi messo"
"123","2","mettere","Congiuntivo Trapassato","lui mette -> Congiuntivo Trapassato","che lui avesse messo"
"123","3","mettere","Congiuntivo Trapassato","lei mette -> Congiuntivo Trapassato","che lei avesse messo"
"123","4","mettere","Congiuntivo Trapassato","noi mettiamo -> Congiuntivo Trapassato","che noi avessimo messo"
"123","5","mettere","Congiuntivo Trapassato","voi mettete -> Congiuntivo Trapassato","che voi aveste messo"
"123","6","mettere","Congiuntivo Trapassato","loro(m) mettono -> Congiuntivo Trapassato","che loro(m) avessero messo"
"123","7","mettere","Congiuntivo Trapassato","loro(f) mettono -> Congiuntivo Trapassato","che loro(f) avessero messo"
"123","0","mettere","Congiuntivo Imperfetto","io metto -> Congiuntivo Imperfetto","che io mettessi"
"123","1","mettere","Congiuntivo Imperfetto","tu metti -> Congiuntivo Imperfetto","che tu mettessi"
"123","2","mettere","Congiuntivo Imperfetto","lui mette -> Congiuntivo Imperfetto","che lui mettesse"
"123","3","mettere","Congiuntivo Imperfetto","lei mette -> Congiuntivo Imperfetto","che lei mettesse"
"123","4","mettere","Congiuntivo Imperfetto","noi mettiamo -> Congiuntivo Imperfetto","che noi mettessimo"
"123","5","mettere","Congiuntivo Imperfetto","voi mettete -> Congiuntivo Imperfetto","che voi metteste"
"123","6","mettere","Congiuntivo Imperfetto","loro(m) mettono -> Congiuntivo Imperfetto","che loro(m) mettessero"
"123","7","mettere","Congiuntivo Imperfetto","loro(f) mettono -> Congiuntivo Imperfetto","che loro(f) mettessero"
"123","0","mettere","Condizionale Presente","io metto -> Condizionale Presente","io metterei"
